Running Block:  44


trying total_time: 40.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00005_01_beh2_slice_44.h5
Using 5 Taylor terms and 4 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :1.00e+00; Runtime: 1.3s; Iterations = 0, grads =   2.185e-05, unitary_metric = 1.00033
Error = :8.75e-01; Runtime: 17.8s; Iterations = 20, grads =   2.099e-02, unitary_metric = 1.00030
Error = :7.57e-01; Runtime: 32.1s; Iterations = 40, grads =   1.266e-02, unitary_metric = 1.00036
Error = :7.51e-01; Runtime: 46.3s; Iterations = 60, grads =   4.411e-03, unitary_metric = 1.00033
Error = :7.51e-01; Runtime: 61.0s; Iterations = 80, grads =   1.216e-02, unitary_metric = 1.00032
Error = :7.51e-01; Runtime: 75.7s; Iterations = 100, grads =   1.153e-02, unitary_metric = 1.00032
Error = :7.51e-01; Runtime: 91.9s; Iterations = 120, grads =   1.374e-02, unitary_metric = 1.00032
Error = :7.51e-01; Runtime: 106.3s; Iterations = 140, grads =   8.790e-03, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 121.0s; Iterations = 160, grads =   4.675e-03, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 135.7s; Iterations = 180, grads =   5.533e-03, unitary_metric = 1.00030
Error = :7.51e-01; Runtime: 150.5s; Iterations = 200, grads =   1.397e-02, unitary_metric = 1.00031
Error = :7.50e-01; Runtime: 165.8s; Iterations = 220, grads =   1.063e-03, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 180.1s; Iterations = 240, grads =   7.224e-04, unitary_metric = 1.00030
Error = :7.52e-01; Runtime: 194.3s; Iterations = 260, grads =   2.050e-02, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 208.6s; Iterations = 280, grads =   6.856e-03, unitary_metric = 1.00030
Error = :7.51e-01; Runtime: 222.8s; Iterations = 300, grads =   7.145e-03, unitary_metric = 1.00029
Error = :7.51e-01; Runtime: 238.1s; Iterations = 320, grads =   1.396e-02, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 252.7s; Iterations = 340, grads =   5.104e-03, unitary_metric = 1.00029
Error = :7.51e-01; Runtime: 267.5s; Iterations = 360, grads =   1.088e-02, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 282.5s; Iterations = 380, grads =   3.413e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 297.1s; Iterations = 400, grads =   3.200e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 313.2s; Iterations = 420, grads =   4.763e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 327.9s; Iterations = 440, grads =   2.071e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 342.1s; Iterations = 460, grads =   6.659e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 356.3s; Iterations = 480, grads =   7.784e-04, unitary_metric = 1.00029
Error = :7.51e-01; Runtime: 370.6s; Iterations = 500, grads =   1.220e-02, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 386.2s; Iterations = 520, grads =   1.166e-03, unitary_metric = 1.00028
Error = :7.51e-01; Runtime: 400.5s; Iterations = 540, grads =   1.789e-02, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 414.8s; Iterations = 560, grads =   2.804e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 429.7s; Iterations = 580, grads =   6.923e-04, unitary_metric = 1.00027
Error = :7.51e-01; Runtime: 444.3s; Iterations = 600, grads =   8.119e-03, unitary_metric = 1.00026
Error = :7.50e-01; Runtime: 460.4s; Iterations = 620, grads =   2.169e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 474.9s; Iterations = 640, grads =   4.481e-03, unitary_metric = 1.00027
Error = :7.50e-01; Runtime: 489.6s; Iterations = 660, grads =   1.162e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 504.4s; Iterations = 680, grads =   5.946e-03, unitary_metric = 1.00026
Error = :7.52e-01; Runtime: 519.1s; Iterations = 700, grads =   1.951e-02, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 534.5s; Iterations = 720, grads =   3.617e-04, unitary_metric = 1.00027
Error = :7.50e-01; Runtime: 548.7s; Iterations = 740, grads =   2.930e-04, unitary_metric = 1.00027
Error = :7.52e-01; Runtime: 562.9s; Iterations = 760, grads =   2.178e-02, unitary_metric = 1.00027
Error = :7.50e-01; Runtime: 577.2s; Iterations = 780, grads =   2.567e-03, unitary_metric = 1.00026
Error = :7.51e-01; Runtime: 591.5s; Iterations = 800, grads =   1.318e-02, unitary_metric = 1.00026
Error = :7.50e-01; Runtime: 606.7s; Iterations = 820, grads =   8.681e-04, unitary_metric = 1.00026
Error = :7.50e-01; Runtime: 621.1s; Iterations = 840, grads =   2.062e-03, unitary_metric = 1.00026
Error = :7.50e-01; Runtime: 636.1s; Iterations = 860, grads =   1.501e-03, unitary_metric = 1.00026
Error = :7.50e-01; Runtime: 650.8s; Iterations = 880, grads =   1.093e-04, unitary_metric = 1.00026
Error = :7.50e-01; Runtime: 665.8s; Iterations = 900, grads =   2.609e-03, unitary_metric = 1.00026
Error = :7.50e-01; Runtime: 681.3s; Iterations = 920, grads =   4.160e-03, unitary_metric = 1.00025
Error = :7.51e-01; Runtime: 696.0s; Iterations = 940, grads =   8.937e-03, unitary_metric = 1.00025
Error = :7.50e-01; Runtime: 710.8s; Iterations = 960, grads =   5.840e-04, unitary_metric = 1.00025
Error = :7.50e-01; Runtime: 725.4s; Iterations = 980, grads =   1.018e-04, unitary_metric = 1.00025
Error = :7.50e-01; Runtime: 739.8s; Iterations = 1000, grads =   2.085e-04, unitary_metric = 1.00026
Error = :7.51e-01; Runtime: 755.0s; Iterations = 1020, grads =   7.243e-03, unitary_metric = 1.00026
Error = :7.50e-01; Runtime: 769.2s; Iterations = 1040, grads =   4.577e-04, unitary_metric = 1.00025
Error = :7.50e-01; Runtime: 783.4s; Iterations = 1060, grads =   3.762e-03, unitary_metric = 1.00024
Error = :7.50e-01; Runtime: 797.7s; Iterations = 1080, grads =   3.564e-03, unitary_metric = 1.00025
Error = :7.50e-01; Runtime: 812.0s; Iterations = 1100, grads =   2.368e-04, unitary_metric = 1.00024
Error = :7.50e-01; Runtime: 827.5s; Iterations = 1120, grads =   5.111e-05, unitary_metric = 1.00024
Error = :7.50e-01; Runtime: 842.3s; Iterations = 1140, grads =   2.905e-04, unitary_metric = 1.00024
Error = :7.51e-01; Runtime: 857.3s; Iterations = 1160, grads =   1.525e-02, unitary_metric = 1.00024
Error = :7.50e-01; Runtime: 872.0s; Iterations = 1180, grads =   8.107e-04, unitary_metric = 1.00024
Error = :7.50e-01; Runtime: 886.6s; Iterations = 1200, grads =   2.460e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 902.5s; Iterations = 1220, grads =   7.389e-05, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 917.2s; Iterations = 1240, grads =   1.447e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 931.8s; Iterations = 1260, grads =   3.034e-03, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 946.1s; Iterations = 1280, grads =   6.607e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 960.3s; Iterations = 1300, grads =   3.375e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 975.5s; Iterations = 1320, grads =   1.038e-03, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 989.7s; Iterations = 1340, grads =   1.583e-03, unitary_metric = 1.00023
Error = :7.51e-01; Runtime: 1004.0s; Iterations = 1360, grads =   6.804e-03, unitary_metric = 1.00025
Error = :7.50e-01; Runtime: 1018.3s; Iterations = 1380, grads =   2.267e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1032.9s; Iterations = 1400, grads =   1.565e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1048.8s; Iterations = 1420, grads =   7.153e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1063.7s; Iterations = 1440, grads =   5.169e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1078.4s; Iterations = 1460, grads =   2.545e-03, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1093.0s; Iterations = 1480, grads =   2.373e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1107.7s; Iterations = 1500, grads =   1.206e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1123.5s; Iterations = 1520, grads =   4.862e-03, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1138.1s; Iterations = 1540, grads =   3.367e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1152.3s; Iterations = 1560, grads =   5.541e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1166.6s; Iterations = 1580, grads =   6.370e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1180.8s; Iterations = 1600, grads =   8.112e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1196.2s; Iterations = 1620, grads =   2.895e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1210.4s; Iterations = 1640, grads =   2.416e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1224.7s; Iterations = 1660, grads =   8.700e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1239.4s; Iterations = 1680, grads =   2.200e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1254.0s; Iterations = 1700, grads =   4.812e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1270.4s; Iterations = 1720, grads =   1.661e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1284.9s; Iterations = 1740, grads =   1.226e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1299.6s; Iterations = 1760, grads =   1.294e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1314.3s; Iterations = 1780, grads =   3.946e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1329.0s; Iterations = 1800, grads =   5.364e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1344.5s; Iterations = 1820, grads =   1.632e-04, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1358.7s; Iterations = 1840, grads =   4.876e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1372.9s; Iterations = 1860, grads =   3.669e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1387.2s; Iterations = 1880, grads =   8.835e-04, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1401.5s; Iterations = 1900, grads =   1.347e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1416.8s; Iterations = 1920, grads =   1.063e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1431.0s; Iterations = 1940, grads =   1.993e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1445.9s; Iterations = 1960, grads =   2.278e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1460.5s; Iterations = 1980, grads =   2.596e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1475.6s; Iterations = 2000, grads =   3.160e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1491.1s; Iterations = 2020, grads =   4.894e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1505.9s; Iterations = 2040, grads =   2.111e-04, unitary_metric = 1.00021
Error = :7.51e-01; Runtime: 1520.5s; Iterations = 2060, grads =   6.271e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1534.7s; Iterations = 2080, grads =   6.048e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1548.9s; Iterations = 2100, grads =   7.223e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1564.2s; Iterations = 2120, grads =   2.139e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1578.4s; Iterations = 2140, grads =   2.122e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1592.6s; Iterations = 2160, grads =   1.596e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1606.8s; Iterations = 2180, grads =   9.371e-05, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1621.5s; Iterations = 2200, grads =   1.060e-03, unitary_metric = 1.00022
