Running Block:  44


trying total_time: 40.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00010_01_beh2_slice_44.h5
Using 5 Taylor terms and 4 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :1.00e+00; Runtime: 1.4s; Iterations = 0, grads =   2.185e-05, unitary_metric = 1.00033
Error = :8.75e-01; Runtime: 18.9s; Iterations = 20, grads =   2.099e-02, unitary_metric = 1.00030
Error = :7.57e-01; Runtime: 34.0s; Iterations = 40, grads =   1.266e-02, unitary_metric = 1.00036
Error = :7.51e-01; Runtime: 49.1s; Iterations = 60, grads =   4.411e-03, unitary_metric = 1.00033
Error = :7.51e-01; Runtime: 64.2s; Iterations = 80, grads =   1.216e-02, unitary_metric = 1.00032
Error = :7.51e-01; Runtime: 79.3s; Iterations = 100, grads =   1.153e-02, unitary_metric = 1.00032
Error = :7.51e-01; Runtime: 95.5s; Iterations = 120, grads =   1.374e-02, unitary_metric = 1.00032
Error = :7.51e-01; Runtime: 110.7s; Iterations = 140, grads =   8.790e-03, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 125.7s; Iterations = 160, grads =   4.675e-03, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 140.9s; Iterations = 180, grads =   5.533e-03, unitary_metric = 1.00030
Error = :7.51e-01; Runtime: 155.9s; Iterations = 200, grads =   1.397e-02, unitary_metric = 1.00031
Error = :7.50e-01; Runtime: 172.4s; Iterations = 220, grads =   1.063e-03, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 187.5s; Iterations = 240, grads =   7.224e-04, unitary_metric = 1.00030
Error = :7.52e-01; Runtime: 202.7s; Iterations = 260, grads =   2.050e-02, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 217.7s; Iterations = 280, grads =   6.856e-03, unitary_metric = 1.00030
Error = :7.51e-01; Runtime: 232.8s; Iterations = 300, grads =   7.145e-03, unitary_metric = 1.00029
Error = :7.51e-01; Runtime: 249.2s; Iterations = 320, grads =   1.396e-02, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 264.3s; Iterations = 340, grads =   5.104e-03, unitary_metric = 1.00029
Error = :7.51e-01; Runtime: 279.4s; Iterations = 360, grads =   1.088e-02, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 294.5s; Iterations = 380, grads =   3.413e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 309.5s; Iterations = 400, grads =   3.200e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 325.6s; Iterations = 420, grads =   4.763e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 340.7s; Iterations = 440, grads =   2.071e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 355.8s; Iterations = 460, grads =   6.659e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 371.0s; Iterations = 480, grads =   7.784e-04, unitary_metric = 1.00029
Error = :7.51e-01; Runtime: 386.1s; Iterations = 500, grads =   1.220e-02, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 402.3s; Iterations = 520, grads =   1.166e-03, unitary_metric = 1.00028
Error = :7.51e-01; Runtime: 417.4s; Iterations = 540, grads =   1.789e-02, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 432.6s; Iterations = 560, grads =   2.804e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 447.6s; Iterations = 580, grads =   6.923e-04, unitary_metric = 1.00027
Error = :7.51e-01; Runtime: 462.7s; Iterations = 600, grads =   8.119e-03, unitary_metric = 1.00026
Error = :7.50e-01; Runtime: 478.9s; Iterations = 620, grads =   2.169e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 494.0s; Iterations = 640, grads =   4.481e-03, unitary_metric = 1.00027
Error = :7.50e-01; Runtime: 509.1s; Iterations = 660, grads =   1.162e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 524.1s; Iterations = 680, grads =   5.946e-03, unitary_metric = 1.00026
Error = :7.52e-01; Runtime: 539.2s; Iterations = 700, grads =   1.951e-02, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 555.5s; Iterations = 720, grads =   3.617e-04, unitary_metric = 1.00027
Error = :7.50e-01; Runtime: 570.6s; Iterations = 740, grads =   2.930e-04, unitary_metric = 1.00027
Error = :7.52e-01; Runtime: 585.7s; Iterations = 760, grads =   2.178e-02, unitary_metric = 1.00027
Error = :7.50e-01; Runtime: 600.8s; Iterations = 780, grads =   2.567e-03, unitary_metric = 1.00026
Error = :7.51e-01; Runtime: 615.9s; Iterations = 800, grads =   1.318e-02, unitary_metric = 1.00026
Error = :7.50e-01; Runtime: 632.4s; Iterations = 820, grads =   8.681e-04, unitary_metric = 1.00026
Error = :7.50e-01; Runtime: 647.4s; Iterations = 840, grads =   2.062e-03, unitary_metric = 1.00026
Error = :7.50e-01; Runtime: 662.5s; Iterations = 860, grads =   1.501e-03, unitary_metric = 1.00026
Error = :7.50e-01; Runtime: 677.6s; Iterations = 880, grads =   1.093e-04, unitary_metric = 1.00026
Error = :7.50e-01; Runtime: 692.6s; Iterations = 900, grads =   2.609e-03, unitary_metric = 1.00026
Error = :7.50e-01; Runtime: 708.7s; Iterations = 920, grads =   4.160e-03, unitary_metric = 1.00025
Error = :7.51e-01; Runtime: 723.8s; Iterations = 940, grads =   8.937e-03, unitary_metric = 1.00025
Error = :7.50e-01; Runtime: 738.9s; Iterations = 960, grads =   5.840e-04, unitary_metric = 1.00025
Error = :7.50e-01; Runtime: 754.0s; Iterations = 980, grads =   1.018e-04, unitary_metric = 1.00025
Error = :7.50e-01; Runtime: 769.0s; Iterations = 1000, grads =   2.085e-04, unitary_metric = 1.00026
Error = :7.51e-01; Runtime: 785.3s; Iterations = 1020, grads =   7.243e-03, unitary_metric = 1.00026
Error = :7.50e-01; Runtime: 800.4s; Iterations = 1040, grads =   4.577e-04, unitary_metric = 1.00025
Error = :7.50e-01; Runtime: 815.4s; Iterations = 1060, grads =   3.762e-03, unitary_metric = 1.00024
Error = :7.50e-01; Runtime: 830.6s; Iterations = 1080, grads =   3.564e-03, unitary_metric = 1.00025
Error = :7.50e-01; Runtime: 845.6s; Iterations = 1100, grads =   2.368e-04, unitary_metric = 1.00024
Error = :7.50e-01; Runtime: 862.1s; Iterations = 1120, grads =   5.111e-05, unitary_metric = 1.00024
Error = :7.50e-01; Runtime: 877.1s; Iterations = 1140, grads =   2.905e-04, unitary_metric = 1.00024
Error = :7.51e-01; Runtime: 892.2s; Iterations = 1160, grads =   1.525e-02, unitary_metric = 1.00024
Error = :7.50e-01; Runtime: 907.3s; Iterations = 1180, grads =   8.107e-04, unitary_metric = 1.00024
Error = :7.50e-01; Runtime: 922.4s; Iterations = 1200, grads =   2.460e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 938.5s; Iterations = 1220, grads =   7.389e-05, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 953.6s; Iterations = 1240, grads =   1.447e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 968.9s; Iterations = 1260, grads =   3.034e-03, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 983.9s; Iterations = 1280, grads =   6.607e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 999.0s; Iterations = 1300, grads =   3.375e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1015.2s; Iterations = 1320, grads =   1.038e-03, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1030.2s; Iterations = 1340, grads =   1.583e-03, unitary_metric = 1.00023
Error = :7.51e-01; Runtime: 1045.3s; Iterations = 1360, grads =   6.804e-03, unitary_metric = 1.00025
Error = :7.50e-01; Runtime: 1060.4s; Iterations = 1380, grads =   2.267e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1075.5s; Iterations = 1400, grads =   1.565e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1092.0s; Iterations = 1420, grads =   7.153e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1107.2s; Iterations = 1440, grads =   5.169e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1122.2s; Iterations = 1460, grads =   2.545e-03, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1137.2s; Iterations = 1480, grads =   2.373e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1152.4s; Iterations = 1500, grads =   1.206e-04, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1168.6s; Iterations = 1520, grads =   4.862e-03, unitary_metric = 1.00023
Error = :7.50e-01; Runtime: 1183.6s; Iterations = 1540, grads =   3.367e-03, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1198.7s; Iterations = 1560, grads =   5.541e-04, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1213.9s; Iterations = 1580, grads =   6.370e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1229.0s; Iterations = 1600, grads =   8.112e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1245.1s; Iterations = 1620, grads =   2.895e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1260.2s; Iterations = 1640, grads =   2.416e-03, unitary_metric = 1.00021
Error = :7.50e-01; Runtime: 1275.2s; Iterations = 1660, grads =   8.700e-05, unitary_metric = 1.00022
Error = :7.50e-01; Runtime: 1290.3s; Iterations = 1680, grads =   2.200e-04, unitary_metric = 1.00022
