Running Block:  244


trying total_time: 30.0 for unitary of size (4, 4)
data saved at: /project/ftchong/qoc/pranav/00016_27_block244.h5
Using 4 Taylor terms and 3 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :3.83e-01; Runtime: 0.9s; Iterations = 0, grads =   9.189e+00, unitary_metric = 1.00003
Error = :1.89e-01; Runtime: 6.1s; Iterations = 20, grads =   3.366e+00, unitary_metric = 1.00003
Error = :1.28e-01; Runtime: 9.8s; Iterations = 40, grads =   2.479e-01, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 13.4s; Iterations = 60, grads =   1.316e-02, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 17.0s; Iterations = 80, grads =   2.807e-03, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 20.6s; Iterations = 100, grads =   4.380e-04, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 24.9s; Iterations = 120, grads =   1.040e-04, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 28.5s; Iterations = 140, grads =   2.287e-05, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 32.2s; Iterations = 160, grads =   1.774e-06, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 35.8s; Iterations = 180, grads =   2.862e-07, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 39.6s; Iterations = 200, grads =   4.210e-08, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 43.9s; Iterations = 220, grads =   1.894e-09, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 47.5s; Iterations = 240, grads =   1.555e-09, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 51.1s; Iterations = 260, grads =   8.064e-11, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 54.7s; Iterations = 280, grads =   1.759e-10, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 58.4s; Iterations = 300, grads =   2.583e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 62.5s; Iterations = 320, grads =   1.912e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 66.0s; Iterations = 340, grads =   1.982e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 69.6s; Iterations = 360, grads =   2.314e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 73.1s; Iterations = 380, grads =   3.912e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 76.6s; Iterations = 400, grads =   4.383e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 80.7s; Iterations = 420, grads =   1.504e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 84.3s; Iterations = 440, grads =   5.822e-11, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 87.8s; Iterations = 460, grads =   2.870e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 91.4s; Iterations = 480, grads =   5.701e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 94.9s; Iterations = 500, grads =   2.225e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 99.0s; Iterations = 520, grads =   2.639e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 102.6s; Iterations = 540, grads =   9.251e-11, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 106.1s; Iterations = 560, grads =   2.002e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 109.7s; Iterations = 580, grads =   2.152e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 113.2s; Iterations = 600, grads =   8.169e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 117.3s; Iterations = 620, grads =   1.048e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 120.9s; Iterations = 640, grads =   1.507e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 124.5s; Iterations = 660, grads =   7.020e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 128.1s; Iterations = 680, grads =   1.176e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 131.6s; Iterations = 700, grads =   2.242e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 135.8s; Iterations = 720, grads =   1.825e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 139.4s; Iterations = 740, grads =   5.127e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 143.0s; Iterations = 760, grads =   4.664e-10, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 146.6s; Iterations = 780, grads =   9.459e-10, unitary_metric = 1.00003
