Running Block:  75


trying total_time: 30.0 for unitary of size (4, 4)
data saved at: /project/ftchong/qoc/pranav/00016_27_block75.h5
Using 4 Taylor terms and 3 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :7.50e-01; Runtime: 0.9s; Iterations = 0, grads =   3.850e-02, unitary_metric = 1.00004
Error = :5.54e-01; Runtime: 6.3s; Iterations = 20, grads =   1.408e+00, unitary_metric = 1.00002
Error = :5.04e-01; Runtime: 10.1s; Iterations = 40, grads =   1.336e-01, unitary_metric = 1.00002
Error = :5.01e-01; Runtime: 13.8s; Iterations = 60, grads =   2.488e-02, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 17.6s; Iterations = 80, grads =   9.703e-04, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 21.3s; Iterations = 100, grads =   3.702e-05, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 25.7s; Iterations = 120, grads =   7.063e-05, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 29.5s; Iterations = 140, grads =   5.020e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 33.6s; Iterations = 160, grads =   5.910e-08, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 37.3s; Iterations = 180, grads =   1.146e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 41.1s; Iterations = 200, grads =   4.604e-09, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 45.4s; Iterations = 220, grads =   1.871e-09, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 49.2s; Iterations = 240, grads =   2.096e-10, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 52.9s; Iterations = 260, grads =   1.368e-11, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 56.7s; Iterations = 280, grads =   1.886e-11, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 60.4s; Iterations = 300, grads =   8.011e-12, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 64.8s; Iterations = 320, grads =   1.123e-11, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 68.5s; Iterations = 340, grads =   9.183e-12, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 72.3s; Iterations = 360, grads =   7.797e-12, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 76.0s; Iterations = 380, grads =   1.029e-11, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 79.7s; Iterations = 400, grads =   3.191e-11, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 84.0s; Iterations = 420, grads =   5.746e-11, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 87.8s; Iterations = 440, grads =   7.231e-12, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 91.5s; Iterations = 460, grads =   2.806e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 95.3s; Iterations = 480, grads =   1.907e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 99.0s; Iterations = 500, grads =   1.438e-11, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 103.3s; Iterations = 520, grads =   9.367e-12, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 107.1s; Iterations = 540, grads =   2.101e-11, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 110.8s; Iterations = 560, grads =   1.733e-11, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 114.5s; Iterations = 580, grads =   4.017e-11, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 118.3s; Iterations = 600, grads =   1.507e-11, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 122.6s; Iterations = 620, grads =   1.542e-11, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 126.3s; Iterations = 640, grads =   2.088e-11, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 130.0s; Iterations = 660, grads =   1.385e-11, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 133.8s; Iterations = 680, grads =   2.314e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 137.5s; Iterations = 700, grads =   3.546e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 141.9s; Iterations = 720, grads =   1.010e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 145.6s; Iterations = 740, grads =   2.480e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 149.3s; Iterations = 760, grads =   3.729e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 153.0s; Iterations = 780, grads =   1.773e-11, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 156.7s; Iterations = 800, grads =   2.251e-11, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 161.0s; Iterations = 820, grads =   2.550e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 164.8s; Iterations = 840, grads =   3.261e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 168.5s; Iterations = 860, grads =   3.216e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 172.2s; Iterations = 880, grads =   2.758e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 175.9s; Iterations = 900, grads =   3.194e-11, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 180.2s; Iterations = 920, grads =   1.861e-11, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 183.9s; Iterations = 940, grads =   5.771e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 187.6s; Iterations = 960, grads =   1.932e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 191.4s; Iterations = 980, grads =   1.173e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 195.1s; Iterations = 1000, grads =   9.945e-12, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 199.4s; Iterations = 1020, grads =   4.341e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 203.1s; Iterations = 1040, grads =   4.030e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 206.8s; Iterations = 1060, grads =   1.281e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 210.5s; Iterations = 1080, grads =   2.210e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 214.2s; Iterations = 1100, grads =   2.189e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 218.5s; Iterations = 1120, grads =   1.604e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 222.3s; Iterations = 1140, grads =   6.762e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 226.0s; Iterations = 1160, grads =   2.445e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 229.7s; Iterations = 1180, grads =   2.182e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 233.5s; Iterations = 1200, grads =   4.299e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 237.8s; Iterations = 1220, grads =   1.821e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 241.5s; Iterations = 1240, grads =   7.784e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 245.2s; Iterations = 1260, grads =   4.616e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 248.9s; Iterations = 1280, grads =   1.143e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 252.7s; Iterations = 1300, grads =   1.942e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 257.0s; Iterations = 1320, grads =   5.632e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 260.8s; Iterations = 1340, grads =   1.074e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 264.5s; Iterations = 1360, grads =   8.326e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 268.3s; Iterations = 1380, grads =   1.572e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 272.0s; Iterations = 1400, grads =   3.671e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 276.4s; Iterations = 1420, grads =   2.275e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 280.2s; Iterations = 1440, grads =   3.875e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 284.0s; Iterations = 1460, grads =   2.925e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 287.8s; Iterations = 1480, grads =   3.629e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 291.6s; Iterations = 1500, grads =   9.087e-05, unitary_metric = 1.00003
Error = :5.03e-01; Runtime: 296.0s; Iterations = 1520, grads =   9.229e-02, unitary_metric = 1.00003
Error = :5.01e-01; Runtime: 299.8s; Iterations = 1540, grads =   2.255e-02, unitary_metric = 1.00003
Error = :5.01e-01; Runtime: 303.6s; Iterations = 1560, grads =   1.327e-02, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 307.4s; Iterations = 1580, grads =   3.406e-04, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 311.2s; Iterations = 1600, grads =   2.106e-04, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 315.6s; Iterations = 1620, grads =   6.378e-07, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 319.4s; Iterations = 1640, grads =   2.395e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 323.2s; Iterations = 1660, grads =   4.503e-07, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 327.0s; Iterations = 1680, grads =   5.333e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 330.8s; Iterations = 1700, grads =   8.823e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 335.2s; Iterations = 1720, grads =   1.200e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 338.9s; Iterations = 1740, grads =   9.543e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 342.7s; Iterations = 1760, grads =   1.961e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 346.5s; Iterations = 1780, grads =   9.118e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 350.3s; Iterations = 1800, grads =   7.186e-07, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 354.7s; Iterations = 1820, grads =   9.418e-04, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 358.5s; Iterations = 1840, grads =   1.009e-02, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 362.3s; Iterations = 1860, grads =   1.845e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 366.1s; Iterations = 1880, grads =   6.877e-04, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 369.9s; Iterations = 1900, grads =   8.822e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 374.2s; Iterations = 1920, grads =   9.878e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 378.0s; Iterations = 1940, grads =   2.098e-05, unitary_metric = 1.00003
Error = :5.01e-01; Runtime: 381.8s; Iterations = 1960, grads =   2.311e-02, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 385.6s; Iterations = 1980, grads =   4.149e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 389.4s; Iterations = 2000, grads =   5.066e-04, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 393.8s; Iterations = 2020, grads =   6.661e-05, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 397.6s; Iterations = 2040, grads =   7.636e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 401.4s; Iterations = 2060, grads =   1.072e-07, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 405.2s; Iterations = 2080, grads =   2.028e-07, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 409.0s; Iterations = 2100, grads =   1.572e-05, unitary_metric = 1.00003
Error = :5.01e-01; Runtime: 413.4s; Iterations = 2120, grads =   1.820e-02, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 417.2s; Iterations = 2140, grads =   2.856e-05, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 421.0s; Iterations = 2160, grads =   1.730e-03, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 424.8s; Iterations = 2180, grads =   2.625e-05, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 428.6s; Iterations = 2200, grads =   5.004e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 433.0s; Iterations = 2220, grads =   1.469e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 436.8s; Iterations = 2240, grads =   4.824e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 440.5s; Iterations = 2260, grads =   3.222e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 444.3s; Iterations = 2280, grads =   2.258e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 448.1s; Iterations = 2300, grads =   3.909e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 452.5s; Iterations = 2320, grads =   3.792e-03, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 456.3s; Iterations = 2340, grads =   7.100e-04, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 460.1s; Iterations = 2360, grads =   3.259e-04, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 463.8s; Iterations = 2380, grads =   1.859e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 467.6s; Iterations = 2400, grads =   3.627e-04, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 472.0s; Iterations = 2420, grads =   1.213e-05, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 475.8s; Iterations = 2440, grads =   6.975e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 479.5s; Iterations = 2460, grads =   2.379e-05, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 483.3s; Iterations = 2480, grads =   2.524e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 487.1s; Iterations = 2500, grads =   7.566e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 491.5s; Iterations = 2520, grads =   1.381e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 495.2s; Iterations = 2540, grads =   2.330e-08, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 499.0s; Iterations = 2560, grads =   8.382e-08, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 502.8s; Iterations = 2580, grads =   2.909e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 506.6s; Iterations = 2600, grads =   9.677e-04, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 510.9s; Iterations = 2620, grads =   9.500e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 514.7s; Iterations = 2640, grads =   8.077e-04, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 518.5s; Iterations = 2660, grads =   2.697e-04, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 522.3s; Iterations = 2680, grads =   8.428e-05, unitary_metric = 1.00002
Error = :5.01e-01; Runtime: 526.1s; Iterations = 2700, grads =   1.413e-02, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 530.4s; Iterations = 2720, grads =   1.601e-03, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 534.2s; Iterations = 2740, grads =   8.755e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 538.0s; Iterations = 2760, grads =   2.411e-05, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 541.8s; Iterations = 2780, grads =   2.001e-07, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 545.5s; Iterations = 2800, grads =   7.155e-08, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 549.9s; Iterations = 2820, grads =   4.184e-08, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 553.7s; Iterations = 2840, grads =   1.045e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 557.5s; Iterations = 2860, grads =   2.595e-04, unitary_metric = 1.00003
Error = :5.01e-01; Runtime: 561.2s; Iterations = 2880, grads =   1.997e-02, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 565.0s; Iterations = 2900, grads =   8.296e-04, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 569.4s; Iterations = 2920, grads =   1.319e-05, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 573.2s; Iterations = 2940, grads =   1.439e-05, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 576.9s; Iterations = 2960, grads =   1.464e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 580.7s; Iterations = 2980, grads =   1.134e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 584.5s; Iterations = 3000, grads =   3.239e-07, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 588.8s; Iterations = 3020, grads =   1.131e-04, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 592.6s; Iterations = 3040, grads =   3.059e-03, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 596.4s; Iterations = 3060, grads =   9.310e-04, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 600.1s; Iterations = 3080, grads =   6.967e-05, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 603.9s; Iterations = 3100, grads =   5.837e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 608.3s; Iterations = 3120, grads =   1.857e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 612.0s; Iterations = 3140, grads =   3.129e-04, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 615.8s; Iterations = 3160, grads =   7.743e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 619.6s; Iterations = 3180, grads =   3.905e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 623.3s; Iterations = 3200, grads =   1.883e-04, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 627.7s; Iterations = 3220, grads =   3.683e-05, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 631.5s; Iterations = 3240, grads =   4.840e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 635.3s; Iterations = 3260, grads =   6.246e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 639.0s; Iterations = 3280, grads =   1.809e-08, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 643.2s; Iterations = 3300, grads =   1.022e-08, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 647.5s; Iterations = 3320, grads =   7.134e-10, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 651.3s; Iterations = 3340, grads =   1.736e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 655.1s; Iterations = 3360, grads =   4.741e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 658.8s; Iterations = 3380, grads =   2.259e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 662.6s; Iterations = 3400, grads =   2.518e-06, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 667.0s; Iterations = 3420, grads =   8.139e-04, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 670.7s; Iterations = 3440, grads =   9.734e-03, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 674.5s; Iterations = 3460, grads =   1.808e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 678.2s; Iterations = 3480, grads =   4.150e-05, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 682.0s; Iterations = 3500, grads =   5.201e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 686.3s; Iterations = 3520, grads =   1.430e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 690.1s; Iterations = 3540, grads =   1.066e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 693.8s; Iterations = 3560, grads =   7.024e-08, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 697.6s; Iterations = 3580, grads =   2.256e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 701.3s; Iterations = 3600, grads =   1.287e-09, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 705.7s; Iterations = 3620, grads =   4.623e-10, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 709.4s; Iterations = 3640, grads =   2.127e-09, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 713.2s; Iterations = 3660, grads =   7.666e-08, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 716.9s; Iterations = 3680, grads =   4.128e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 720.7s; Iterations = 3700, grads =   1.030e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 725.1s; Iterations = 3720, grads =   1.496e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 728.8s; Iterations = 3740, grads =   4.388e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 732.6s; Iterations = 3760, grads =   7.750e-05, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 736.3s; Iterations = 3780, grads =   9.332e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 740.1s; Iterations = 3800, grads =   4.413e-08, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 744.4s; Iterations = 3820, grads =   5.443e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 748.2s; Iterations = 3840, grads =   2.082e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 752.0s; Iterations = 3860, grads =   7.589e-09, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 755.7s; Iterations = 3880, grads =   3.295e-09, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 759.5s; Iterations = 3900, grads =   8.982e-10, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 763.8s; Iterations = 3920, grads =   3.093e-09, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 767.5s; Iterations = 3940, grads =   1.068e-08, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 771.3s; Iterations = 3960, grads =   1.483e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 775.0s; Iterations = 3980, grads =   1.042e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 778.7s; Iterations = 4000, grads =   6.341e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 783.1s; Iterations = 4020, grads =   2.121e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 786.8s; Iterations = 4040, grads =   7.717e-05, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 790.5s; Iterations = 4060, grads =   4.027e-05, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 794.3s; Iterations = 4080, grads =   1.805e-06, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 798.0s; Iterations = 4100, grads =   2.215e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 802.3s; Iterations = 4120, grads =   8.249e-08, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 806.1s; Iterations = 4140, grads =   1.277e-08, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 809.8s; Iterations = 4160, grads =   2.368e-09, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 813.5s; Iterations = 4180, grads =   2.514e-10, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 817.3s; Iterations = 4200, grads =   1.691e-10, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 821.6s; Iterations = 4220, grads =   3.978e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 825.4s; Iterations = 4240, grads =   1.801e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 829.1s; Iterations = 4260, grads =   2.851e-10, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 832.8s; Iterations = 4280, grads =   3.842e-09, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 836.6s; Iterations = 4300, grads =   1.679e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 840.9s; Iterations = 4320, grads =   1.163e-04, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 844.6s; Iterations = 4340, grads =   3.290e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 848.4s; Iterations = 4360, grads =   1.550e-03, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 852.1s; Iterations = 4380, grads =   1.012e-03, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 855.8s; Iterations = 4400, grads =   2.241e-05, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 860.2s; Iterations = 4420, grads =   1.931e-05, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 864.0s; Iterations = 4440, grads =   4.733e-07, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 867.7s; Iterations = 4460, grads =   2.398e-08, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 871.5s; Iterations = 4480, grads =   9.600e-09, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 875.2s; Iterations = 4500, grads =   1.614e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 879.5s; Iterations = 4520, grads =   3.291e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 883.3s; Iterations = 4540, grads =   3.541e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 887.0s; Iterations = 4560, grads =   5.744e-10, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 890.7s; Iterations = 4580, grads =   6.092e-11, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 894.5s; Iterations = 4600, grads =   2.105e-09, unitary_metric = 1.00002
Error = :5.00e-01; Runtime: 898.8s; Iterations = 4620, grads =   1.199e-09, unitary_metric = 1.00003
Error = :5.00e-01; Runtime: 902.5s; Iterations = 4640, grads =   3.508e-08, unitary_metric = 1.00002
