Running Block:  44


trying total_time: 40.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00000_31_beh2_slice_44.h5
Using 5 Taylor terms and 4 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :1.00e+00; Runtime: 1.4s; Iterations = 0, grads =   1.068e-04, unitary_metric = 1.00048
Error = :8.63e-01; Runtime: 19.2s; Iterations = 20, grads =   7.057e-02, unitary_metric = 1.00036
Error = :7.59e-01; Runtime: 34.5s; Iterations = 40, grads =   2.384e-02, unitary_metric = 1.00033
Error = :7.58e-01; Runtime: 50.0s; Iterations = 60, grads =   1.223e-01, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 65.4s; Iterations = 80, grads =   1.801e-03, unitary_metric = 1.00035
Error = :7.50e-01; Runtime: 80.7s; Iterations = 100, grads =   2.629e-03, unitary_metric = 1.00035
Error = :7.50e-01; Runtime: 97.2s; Iterations = 120, grads =   1.151e-03, unitary_metric = 1.00035
Error = :7.50e-01; Runtime: 112.5s; Iterations = 140, grads =   1.782e-03, unitary_metric = 1.00034
Error = :7.50e-01; Runtime: 127.7s; Iterations = 160, grads =   1.401e-03, unitary_metric = 1.00035
Error = :7.51e-01; Runtime: 142.9s; Iterations = 180, grads =   1.425e-02, unitary_metric = 1.00035
Error = :7.50e-01; Runtime: 158.1s; Iterations = 200, grads =   2.493e-03, unitary_metric = 1.00034
Error = :7.50e-01; Runtime: 174.6s; Iterations = 220, grads =   1.038e-03, unitary_metric = 1.00034
Error = :7.51e-01; Runtime: 189.7s; Iterations = 240, grads =   1.801e-02, unitary_metric = 1.00034
Error = :7.50e-01; Runtime: 205.0s; Iterations = 260, grads =   6.760e-03, unitary_metric = 1.00034
Error = :7.50e-01; Runtime: 220.1s; Iterations = 280, grads =   3.280e-03, unitary_metric = 1.00034
Error = :7.50e-01; Runtime: 235.0s; Iterations = 300, grads =   1.337e-03, unitary_metric = 1.00034
Error = :7.51e-01; Runtime: 251.2s; Iterations = 320, grads =   7.793e-03, unitary_metric = 1.00033
Error = :7.50e-01; Runtime: 266.8s; Iterations = 340, grads =   8.988e-04, unitary_metric = 1.00033
Error = :7.50e-01; Runtime: 282.2s; Iterations = 360, grads =   2.988e-05, unitary_metric = 1.00034
Error = :7.50e-01; Runtime: 297.5s; Iterations = 380, grads =   1.502e-03, unitary_metric = 1.00033
Error = :7.51e-01; Runtime: 313.0s; Iterations = 400, grads =   7.651e-03, unitary_metric = 1.00032
Error = :7.50e-01; Runtime: 329.5s; Iterations = 420, grads =   1.366e-03, unitary_metric = 1.00032
Error = :7.51e-01; Runtime: 344.6s; Iterations = 440, grads =   1.210e-02, unitary_metric = 1.00032
Error = :7.51e-01; Runtime: 359.7s; Iterations = 460, grads =   8.078e-03, unitary_metric = 1.00032
Error = :7.50e-01; Runtime: 374.7s; Iterations = 480, grads =   4.739e-04, unitary_metric = 1.00033
Error = :7.52e-01; Runtime: 389.5s; Iterations = 500, grads =   2.527e-02, unitary_metric = 1.00031
Error = :7.50e-01; Runtime: 405.4s; Iterations = 520, grads =   2.751e-04, unitary_metric = 1.00032
Error = :7.50e-01; Runtime: 420.3s; Iterations = 540, grads =   6.404e-04, unitary_metric = 1.00031
Error = :7.50e-01; Runtime: 435.1s; Iterations = 560, grads =   3.694e-03, unitary_metric = 1.00031
Error = :7.51e-01; Runtime: 450.8s; Iterations = 580, grads =   9.488e-03, unitary_metric = 1.00031
Error = :7.50e-01; Runtime: 465.8s; Iterations = 600, grads =   2.292e-03, unitary_metric = 1.00030
Error = :7.51e-01; Runtime: 481.9s; Iterations = 620, grads =   7.380e-03, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 496.8s; Iterations = 640, grads =   1.594e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 511.7s; Iterations = 660, grads =   6.155e-03, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 526.6s; Iterations = 680, grads =   1.180e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 541.5s; Iterations = 700, grads =   4.042e-04, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 557.5s; Iterations = 720, grads =   1.557e-04, unitary_metric = 1.00030
Error = :7.51e-01; Runtime: 572.3s; Iterations = 740, grads =   1.371e-02, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 587.2s; Iterations = 760, grads =   3.666e-03, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 602.1s; Iterations = 780, grads =   3.032e-03, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 617.0s; Iterations = 800, grads =   1.778e-04, unitary_metric = 1.00029
Error = :7.51e-01; Runtime: 633.9s; Iterations = 820, grads =   1.115e-02, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 649.4s; Iterations = 840, grads =   2.131e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 664.8s; Iterations = 860, grads =   1.966e-04, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 680.1s; Iterations = 880, grads =   7.769e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 695.5s; Iterations = 900, grads =   3.768e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 712.2s; Iterations = 920, grads =   1.657e-03, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 727.5s; Iterations = 940, grads =   2.045e-03, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 742.8s; Iterations = 960, grads =   6.473e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 758.1s; Iterations = 980, grads =   1.637e-04, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 773.2s; Iterations = 1000, grads =   3.764e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 789.3s; Iterations = 1020, grads =   4.980e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 804.3s; Iterations = 1040, grads =   2.144e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 819.1s; Iterations = 1060, grads =   9.438e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 833.9s; Iterations = 1080, grads =   4.587e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 849.1s; Iterations = 1100, grads =   4.725e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 865.7s; Iterations = 1120, grads =   1.344e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 881.2s; Iterations = 1140, grads =   1.556e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 896.7s; Iterations = 1160, grads =   2.813e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 912.1s; Iterations = 1180, grads =   1.211e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 927.5s; Iterations = 1200, grads =   3.030e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 944.0s; Iterations = 1220, grads =   1.872e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 959.5s; Iterations = 1240, grads =   6.559e-06, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 975.0s; Iterations = 1260, grads =   1.118e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 990.4s; Iterations = 1280, grads =   2.350e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1005.9s; Iterations = 1300, grads =   9.182e-04, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 1022.9s; Iterations = 1320, grads =   1.253e-04, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 1038.3s; Iterations = 1340, grads =   1.889e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1053.8s; Iterations = 1360, grads =   1.221e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1069.4s; Iterations = 1380, grads =   1.101e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1084.9s; Iterations = 1400, grads =   6.186e-04, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 1101.7s; Iterations = 1420, grads =   2.422e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 1117.2s; Iterations = 1440, grads =   4.213e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1132.7s; Iterations = 1460, grads =   9.774e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1148.2s; Iterations = 1480, grads =   2.638e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1163.6s; Iterations = 1500, grads =   1.649e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1180.3s; Iterations = 1520, grads =   2.453e-04, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 1195.8s; Iterations = 1540, grads =   6.981e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1211.3s; Iterations = 1560, grads =   2.747e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1226.8s; Iterations = 1580, grads =   1.054e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1242.3s; Iterations = 1600, grads =   2.695e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1259.2s; Iterations = 1620, grads =   1.750e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1274.6s; Iterations = 1640, grads =   1.210e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 1290.2s; Iterations = 1660, grads =   1.114e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1305.7s; Iterations = 1680, grads =   8.409e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1321.1s; Iterations = 1700, grads =   8.465e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1338.0s; Iterations = 1720, grads =   1.545e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1353.4s; Iterations = 1740, grads =   6.745e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1368.8s; Iterations = 1760, grads =   2.092e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 1384.1s; Iterations = 1780, grads =   1.951e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 1399.5s; Iterations = 1800, grads =   9.716e-04, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 1416.1s; Iterations = 1820, grads =   1.587e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1431.5s; Iterations = 1840, grads =   8.793e-05, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 1446.9s; Iterations = 1860, grads =   2.971e-03, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 1462.4s; Iterations = 1880, grads =   2.076e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1477.9s; Iterations = 1900, grads =   2.098e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1494.5s; Iterations = 1920, grads =   7.423e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1510.0s; Iterations = 1940, grads =   2.654e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 1525.4s; Iterations = 1960, grads =   2.232e-03, unitary_metric = 1.00029
