Running Block:  186


trying total_time: 40.0 for unitary of size (16, 16)
data saved at: /project/ftchong/qoc/pranav/00000_29_lih_slice_186.h5
Using 5 Taylor terms and 4 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :9.93e-01; Runtime: 1.4s; Iterations = 0, grads =   7.270e-02, unitary_metric = 1.00020
Error = :7.83e-01; Runtime: 18.2s; Iterations = 20, grads =   4.053e-01, unitary_metric = 1.00035
Error = :7.53e-01; Runtime: 32.6s; Iterations = 40, grads =   2.790e-02, unitary_metric = 1.00030
Error = :7.50e-01; Runtime: 47.0s; Iterations = 60, grads =   7.162e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 61.3s; Iterations = 80, grads =   7.504e-04, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 75.7s; Iterations = 100, grads =   2.625e-03, unitary_metric = 1.00030
Error = :7.52e-01; Runtime: 91.2s; Iterations = 120, grads =   3.633e-02, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 105.7s; Iterations = 140, grads =   2.409e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 120.0s; Iterations = 160, grads =   6.867e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 134.4s; Iterations = 180, grads =   2.719e-06, unitary_metric = 1.00030
Error = :7.56e-01; Runtime: 148.7s; Iterations = 200, grads =   1.268e-01, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 164.3s; Iterations = 220, grads =   2.126e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 178.6s; Iterations = 240, grads =   2.420e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 193.0s; Iterations = 260, grads =   1.703e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 207.4s; Iterations = 280, grads =   7.272e-07, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 221.7s; Iterations = 300, grads =   3.571e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 237.2s; Iterations = 320, grads =   9.277e-03, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 251.6s; Iterations = 340, grads =   3.504e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 265.9s; Iterations = 360, grads =   8.962e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 280.3s; Iterations = 380, grads =   8.400e-05, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 294.7s; Iterations = 400, grads =   1.813e-05, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 310.2s; Iterations = 420, grads =   4.780e-07, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 324.5s; Iterations = 440, grads =   6.889e-06, unitary_metric = 1.00028
Error = :7.57e-01; Runtime: 338.9s; Iterations = 460, grads =   1.431e-01, unitary_metric = 1.00029
Error = :7.51e-01; Runtime: 353.3s; Iterations = 480, grads =   2.242e-02, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 367.6s; Iterations = 500, grads =   8.025e-03, unitary_metric = 1.00027
Error = :7.50e-01; Runtime: 383.0s; Iterations = 520, grads =   4.271e-04, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 397.4s; Iterations = 540, grads =   1.186e-04, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 411.8s; Iterations = 560, grads =   3.540e-03, unitary_metric = 1.00028
Error = :7.51e-01; Runtime: 426.1s; Iterations = 580, grads =   1.901e-02, unitary_metric = 1.00028
Error = :7.51e-01; Runtime: 440.5s; Iterations = 600, grads =   1.124e-02, unitary_metric = 1.00029
Error = :7.51e-01; Runtime: 455.9s; Iterations = 620, grads =   2.860e-02, unitary_metric = 1.00029
Error = :7.50e-01; Runtime: 470.2s; Iterations = 640, grads =   1.421e-03, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 484.6s; Iterations = 660, grads =   5.150e-05, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 499.0s; Iterations = 680, grads =   7.843e-05, unitary_metric = 1.00028
Error = :7.50e-01; Runtime: 513.3s; Iterations = 700, grads =   1.222e-03, unitary_metric = 1.00028
Error = :7.51e-01; Runtime: 528.7s; Iterations = 720, grads =   1.186e-02, unitary_metric = 1.00028
